"id","parent_id","country_id","version_a","lft","rgt","name"
"325","735","1","1","5","6","name"
"326","735","1","1","7","8","comments"
"327","330","1","1","11","12","poids1"
"328","330","1","1","13","14","poids2"
"329","330","1","1","17","18","bigger"
"330","332","1","1","10","41","standard"
"331","336","1","1","46","47","binaire"
"332",NULL,"1","1","1","44","time"
"333","332","1","1","2","3","new_date"
"335","332","1","1","42","43","new_datetime"
"336",NULL,"1","1","45","48","complex"
"339",NULL,"1","1","49","56","graphical"
"343","339","1","1","54","55","google"
"344","339","1","1","50","51","new_label"
"735","332","1","1","4","9","new_container527"
"850","339","1","1","52","53","truc"
"1109","330","1","1","15","16","new_label344"
"1155",NULL,"1","1","57","64","Test"
"1156","1155","1","1","58","61","titi"
"1157","1156","1","1","59","60","tutu"
"1158","1155","1","1","62","63","tt"
